"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Parameter Value[Data file checksum]"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"67"	"67"	"67"	""	""	"M11050406"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"67"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050406.mzml"	"Metabolite identification"	""	""
"68"	"68"	"68"	""	""	"M11051107"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"68"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051107.mzml"	"Metabolite identification"	""	""
"69"	"69"	"69"	""	""	"M11082005"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"69"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082005.mzml"	"Metabolite identification"	""	""
"70"	"70"	"70"	""	""	"M11081303"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"70"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081303.mzml"	"Metabolite identification"	""	""
"71"	"71"	"71"	""	""	"M11062511"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"71"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062511.mzml"	"Metabolite identification"	""	""
"72"	"72"	"72"	""	""	"M11061506"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"72"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061506.mzml"	"Metabolite identification"	""	""
"73"	"73"	"73"	""	""	"M11081701"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"73"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081701.mzml"	"Metabolite identification"	""	""
"74"	"74"	"74"	""	""	"M11072009"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"74"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072009.mzml"	"Metabolite identification"	""	""
"75"	"75"	"75"	""	""	"M11050512"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"75"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050512.mzml"	"Metabolite identification"	""	""
"76"	"76"	"76"	""	""	"M11071304"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"76"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071304.mzml"	"Metabolite identification"	""	""
"77"	"77"	"77"	""	""	"M11062506"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"77"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062506.mzml"	"Metabolite identification"	""	""
"78"	"78"	"78"	""	""	"M11062213"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"78"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062213.mzml"	"Metabolite identification"	""	""
"79"	"79"	"79"	""	""	"M11082013"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"79"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082013.mzml"	"Metabolite identification"	""	""
"80"	"80"	"80"	""	""	"M11050410"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"80"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050410.mzml"	"Metabolite identification"	""	""
"81"	"81"	"81"	""	""	"M11062210"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"81"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062210.mzml"	"Metabolite identification"	""	""
"82"	"82"	"82"	""	""	"M11050504"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"82"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050504.mzml"	"Metabolite identification"	""	""
"83"	"83"	"83"	""	""	"M11062518"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"83"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062518.mzml"	"Metabolite identification"	""	""
"84"	"84"	"84"	""	""	"M11081711"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"84"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081711.mzml"	"Metabolite identification"	""	""
"85"	"85"	"85"	""	""	"M11052506"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"85"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052506.mzml"	"Metabolite identification"	""	""
"86"	"86"	"86"	""	""	"M11082021"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"86"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082021.mzml"	"Metabolite identification"	""	""
"87"	"87"	"87"	""	""	"M11062209"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"87"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062209.mzml"	"Metabolite identification"	""	""
"88"	"88"	"88"	""	""	"M11060911"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"88"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060911.mzml"	"Metabolite identification"	""	""
"89"	"89"	"89"	""	""	"M11050405"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"89"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050405.mzml"	"Metabolite identification"	""	""
"90"	"90"	"90"	""	""	"M11080306"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"90"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080306.mzml"	"Metabolite identification"	""	""
"91"	"91"	"91"	""	""	"M11082015"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"91"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082015.mzml"	"Metabolite identification"	""	""
"92"	"92"	"92"	""	""	"M11062504"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"92"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062504.mzml"	"Metabolite identification"	""	""
"93"	"93"	"93"	""	""	"M11082407"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"93"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082407.mzml"	"Metabolite identification"	""	""
"94"	"94"	"94"	""	""	"M11062202"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"94"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062202.mzml"	"Metabolite identification"	""	""
"95"	"95"	"95"	""	""	"M11060913"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"95"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060913.mzml"	"Metabolite identification"	""	""
"96"	"96"	"96"	""	""	"M11062902"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"96"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062902.mzml"	"Metabolite identification"	""	""
"97"	"97"	"97"	""	""	"M11062204"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"97"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062204.mzml"	"Metabolite identification"	""	""
"98"	"98"	"98"	""	""	"M11072308"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"98"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072308.mzml"	"Metabolite identification"	""	""
"99"	"99"	"99"	""	""	"M11052816"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"99"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052816.mzml"	"Metabolite identification"	""	""
"100"	"100"	"100"	""	""	"M11061511"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"100"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061511.mzml"	"Metabolite identification"	""	""
"101"	"101"	"101"	""	""	"M11060103"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"101"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060103.mzml"	"Metabolite identification"	""	""
"102"	"102"	"102"	""	""	"M11060203"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"102"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060203.mzml"	"Metabolite identification"	""	""
"103"	"103"	"103"	""	""	"M11073015"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"103"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073015.mzml"	"Metabolite identification"	""	""
"104"	"104"	"104"	""	""	"M11052508"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"104"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052508.mzml"	"Metabolite identification"	""	""
"105"	"105"	"105"	""	""	"M11062203"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"105"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062203.mzml"	"Metabolite identification"	""	""
"106"	"106"	"106"	""	""	"M11070607"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"106"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11070607.mzml"	"Metabolite identification"	""	""
"107"	"107"	"107"	""	""	"M11051207"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"107"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051207.mzml"	"Metabolite identification"	""	""
"108"	"108"	"108"	""	""	"M11061507"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"108"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061507.mzml"	"Metabolite identification"	""	""
"109"	"109"	"109"	""	""	"M11082008"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"109"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082008.mzml"	"Metabolite identification"	""	""
"110"	"110"	"110"	""	""	"M11061607"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"110"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061607.mzml"	"Metabolite identification"	""	""
"111"	"111"	"111"	""	""	"M11050403"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"111"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050403.mzml"	"Metabolite identification"	""	""
"112"	"112"	"112"	""	""	"M11051105"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"112"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051105.mzml"	"Metabolite identification"	""	""
"113"	"113"	"113"	""	""	"M11072320"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"113"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072320.mzml"	"Metabolite identification"	""	""
"114"	"114"	"114"	""	""	"M11062502"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"114"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062502.mzml"	"Metabolite identification"	""	""
"115"	"115"	"115"	""	""	"M11071309"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"115"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071309.mzml"	"Metabolite identification"	""	""
"116"	"116"	"116"	""	""	"M11052812"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"116"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052812.mzml"	"Metabolite identification"	""	""
"117"	"117"	"117"	""	""	"M11081315"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"117"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081315.mzml"	"Metabolite identification"	""	""
"118"	"118"	"118"	""	""	"M11050414"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"118"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050414.mzml"	"Metabolite identification"	""	""
"119"	"119"	"119"	""	""	"M11082011"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"119"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082011.mzml"	"Metabolite identification"	""	""
"120"	"120"	"120"	""	""	"M11072323"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"120"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072323.mzml"	"Metabolite identification"	""	""
"121"	"121"	"121"	""	""	"M11060905"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"121"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060905.mzml"	"Metabolite identification"	""	""
"122"	"122"	"122"	""	""	"M11051101"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"122"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051101.mzml"	"Metabolite identification"	""	""
"123"	"123"	"123"	""	""	"M11060111"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"123"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060111.mzml"	"Metabolite identification"	""	""
"124"	"124"	"124"	""	""	"M11080304"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"124"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080304.mzml"	"Metabolite identification"	""	""
"125"	"125"	"125"	""	""	"M11060207"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"125"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060207.mzml"	"Metabolite identification"	""	""
"126"	"126"	"126"	""	""	"M11081703"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"126"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081703.mzml"	"Metabolite identification"	""	""
"127"	"127"	"127"	""	""	"M11050501"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"127"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050501.mzml"	"Metabolite identification"	""	""
"128"	"128"	"128"	""	""	"M11071310"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"128"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071310.mzml"	"Metabolite identification"	""	""
"129"	"129"	"129"	""	""	"M11050507"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"129"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050507.mzml"	"Metabolite identification"	""	""
"130"	"130"	"130"	""	""	"M11062211"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"130"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062211.mzml"	"Metabolite identification"	""	""
"131"	"131"	"131"	""	""	"M11061609"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"131"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061609.mzml"	"Metabolite identification"	""	""
"132"	"132"	"132"	""	""	"M11073003"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"132"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073003.mzml"	"Metabolite identification"	""	""
"133"	"133"	"133"	""	""	"M11062909"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"133"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062909.mzml"	"Metabolite identification"	""	""
"134"	"134"	"134"	""	""	"M11051108"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"134"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051108.mzml"	"Metabolite identification"	""	""
"135"	"135"	"135"	""	""	"M11073006"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"135"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073006.mzml"	"Metabolite identification"	""	""
