"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"49"	"49"	"49"	""	"1"	"M11082001"	"Extraction"	""	""	"Assay for M11082001"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"49"	""	"Data transformation"	""	"FILES/m11082001.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"50"	"50"	"50"	""	"1"	"M11062520"	"Extraction"	""	""	"Assay for M11062520"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"50"	""	"Data transformation"	""	"FILES/m11062520.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"51"	"51"	"51"	""	"1"	"M11051904"	"Extraction"	""	""	"Assay for M11051904"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"51"	""	"Data transformation"	""	"FILES/m11051904.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"52"	"52"	"52"	""	"1"	"M11073017"	"Extraction"	""	""	"Assay for M11073017"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"52"	""	"Data transformation"	""	"FILES/m11073017.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"53"	"53"	"53"	""	"1"	"M11061606"	"Extraction"	""	""	"Assay for M11061606"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"53"	""	"Data transformation"	""	"FILES/m11061606.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"54"	"54"	"54"	""	"1"	"M11050413"	"Extraction"	""	""	"Assay for M11050413"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"54"	""	"Data transformation"	""	"FILES/m11050413.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"55"	"55"	"55"	""	"1"	"M11051805"	"Extraction"	""	""	"Assay for M11051805"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"55"	""	"Data transformation"	""	"FILES/m11051805.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"56"	"56"	"56"	""	"1"	"M11082401"	"Extraction"	""	""	"Assay for M11082401"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"56"	""	"Data transformation"	""	"FILES/m11082401.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"57"	"57"	"57"	""	"1"	"M11081301"	"Extraction"	""	""	"Assay for M11081301"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"57"	""	"Data transformation"	""	"FILES/m11081301.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"58"	"58"	"58"	""	"1"	"M11061510"	"Extraction"	""	""	"Assay for M11061510"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"58"	""	"Data transformation"	""	"FILES/m11061510.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"59"	"59"	"59"	""	"1"	"M11071307"	"Extraction"	""	""	"Assay for M11071307"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"59"	""	"Data transformation"	""	"FILES/m11071307.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"60"	"60"	"60"	""	"1"	"M11051902"	"Extraction"	""	""	"Assay for M11051902"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"60"	""	"Data transformation"	""	"FILES/m11051902.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"61"	"61"	"61"	""	"1"	"M11072312"	"Extraction"	""	""	"Assay for M11072312"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"61"	""	"Data transformation"	""	"FILES/m11072312.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"62"	"62"	"62"	""	"1"	"M11081306"	"Extraction"	""	""	"Assay for M11081306"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"62"	""	"Data transformation"	""	"FILES/m11081306.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"63"	"63"	"63"	""	"1"	"M11062514"	"Extraction"	""	""	"Assay for M11062514"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"63"	""	"Data transformation"	""	"FILES/m11062514.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"64"	"64"	"64"	""	"1"	"M11050515"	"Extraction"	""	""	"Assay for M11050515"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"64"	""	"Data transformation"	""	"FILES/m11050515.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"65"	"65"	"65"	""	"1"	"M11062515"	"Extraction"	""	""	"Assay for M11062515"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"65"	""	"Data transformation"	""	"FILES/m11062515.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"66"	"66"	"66"	""	"1"	"M11062907"	"Extraction"	""	""	"Assay for M11062907"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"66"	""	"Data transformation"	""	"FILES/m11062907.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"67"	"67"	"67"	""	"1"	"M11050406"	"Extraction"	""	""	"Assay for M11050406"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"67"	""	"Data transformation"	""	"FILES/m11050406.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"68"	"68"	"68"	""	"1"	"M11051107"	"Extraction"	""	""	"Assay for M11051107"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"68"	""	"Data transformation"	""	"FILES/m11051107.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"69"	"69"	"69"	""	"1"	"M11082005"	"Extraction"	""	""	"Assay for M11082005"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"69"	""	"Data transformation"	""	"FILES/m11082005.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"70"	"70"	"70"	""	"1"	"M11081303"	"Extraction"	""	""	"Assay for M11081303"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"70"	""	"Data transformation"	""	"FILES/m11081303.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"71"	"71"	"71"	""	"1"	"M11062511"	"Extraction"	""	""	"Assay for M11062511"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"71"	""	"Data transformation"	""	"FILES/m11062511.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"72"	"72"	"72"	""	"1"	"M11061506"	"Extraction"	""	""	"Assay for M11061506"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"72"	""	"Data transformation"	""	"FILES/m11061506.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"73"	"73"	"73"	""	"1"	"M11081701"	"Extraction"	""	""	"Assay for M11081701"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"73"	""	"Data transformation"	""	"FILES/m11081701.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"74"	"74"	"74"	""	"1"	"M11072009"	"Extraction"	""	""	"Assay for M11072009"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"74"	""	"Data transformation"	""	"FILES/m11072009.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"75"	"75"	"75"	""	"1"	"M11050512"	"Extraction"	""	""	"Assay for M11050512"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"75"	""	"Data transformation"	""	"FILES/m11050512.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"76"	"76"	"76"	""	"1"	"M11071304"	"Extraction"	""	""	"Assay for M11071304"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"76"	""	"Data transformation"	""	"FILES/m11071304.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"77"	"77"	"77"	""	"1"	"M11062506"	"Extraction"	""	""	"Assay for M11062506"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"77"	""	"Data transformation"	""	"FILES/m11062506.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"78"	"78"	"78"	""	"1"	"M11062213"	"Extraction"	""	""	"Assay for M11062213"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"78"	""	"Data transformation"	""	"FILES/m11062213.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"79"	"79"	"79"	""	"1"	"M11082013"	"Extraction"	""	""	"Assay for M11082013"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"79"	""	"Data transformation"	""	"FILES/m11082013.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"80"	"80"	"80"	""	"1"	"M11050410"	"Extraction"	""	""	"Assay for M11050410"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"80"	""	"Data transformation"	""	"FILES/m11050410.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"81"	"81"	"81"	""	"1"	"M11062210"	"Extraction"	""	""	"Assay for M11062210"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"81"	""	"Data transformation"	""	"FILES/m11062210.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"82"	"82"	"82"	""	"1"	"M11050504"	"Extraction"	""	""	"Assay for M11050504"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"82"	""	"Data transformation"	""	"FILES/m11050504.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"83"	"83"	"83"	""	"1"	"M11062518"	"Extraction"	""	""	"Assay for M11062518"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"83"	""	"Data transformation"	""	"FILES/m11062518.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"84"	"84"	"84"	""	"1"	"M11081711"	"Extraction"	""	""	"Assay for M11081711"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"84"	""	"Data transformation"	""	"FILES/m11081711.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"85"	"85"	"85"	""	"1"	"M11052506"	"Extraction"	""	""	"Assay for M11052506"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"85"	""	"Data transformation"	""	"FILES/m11052506.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"86"	"86"	"86"	""	"1"	"M11082021"	"Extraction"	""	""	"Assay for M11082021"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"86"	""	"Data transformation"	""	"FILES/m11082021.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"87"	"87"	"87"	""	"1"	"M11062209"	"Extraction"	""	""	"Assay for M11062209"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"87"	""	"Data transformation"	""	"FILES/m11062209.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"88"	"88"	"88"	""	"1"	"M11060911"	"Extraction"	""	""	"Assay for M11060911"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"88"	""	"Data transformation"	""	"FILES/m11060911.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"89"	"89"	"89"	""	"1"	"M11050405"	"Extraction"	""	""	"Assay for M11050405"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"89"	""	"Data transformation"	""	"FILES/m11050405.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"90"	"90"	"90"	""	"1"	"M11080306"	"Extraction"	""	""	"Assay for M11080306"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"90"	""	"Data transformation"	""	"FILES/m11080306.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"91"	"91"	"91"	""	"1"	"M11082015"	"Extraction"	""	""	"Assay for M11082015"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"91"	""	"Data transformation"	""	"FILES/m11082015.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"92"	"92"	"92"	""	"1"	"M11062504"	"Extraction"	""	""	"Assay for M11062504"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"92"	""	"Data transformation"	""	"FILES/m11062504.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"93"	"93"	"93"	""	"1"	"M11082407"	"Extraction"	""	""	"Assay for M11082407"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"93"	""	"Data transformation"	""	"FILES/m11082407.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"94"	"94"	"94"	""	"1"	"M11062202"	"Extraction"	""	""	"Assay for M11062202"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"94"	""	"Data transformation"	""	"FILES/m11062202.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"95"	"95"	"95"	""	"1"	"M11060913"	"Extraction"	""	""	"Assay for M11060913"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"95"	""	"Data transformation"	""	"FILES/m11060913.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"96"	"96"	"96"	""	"1"	"M11062902"	"Extraction"	""	""	"Assay for M11062902"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"96"	""	"Data transformation"	""	"FILES/m11062902.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"97"	"97"	"97"	""	"1"	"M11062204"	"Extraction"	""	""	"Assay for M11062204"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"97"	""	"Data transformation"	""	"FILES/m11062204.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
